from,to,relation,period
ArturoMaschke,PaulSchaefer,"1,2",3
JorgeAlessandriRodriguez,PaulSchaefer,"1,2",3
GuillermoOsorio,PaulSchaefer,"1,2",3
GerhardMuecke,PaulSchaefer,"1,2","2,3"
HartmutHopp,AugustoPinochet,1,3
AugustoPinochet,HartmutHopp,1,3
HartmutHopp,AlbertSchreiber,NA,2
HartmutHopp,AlbertSchreiber,NA,3
AlbertSchreiber,HartmutHopp,NA,2
AlbertSchreiber,HartmutHopp,NA,3
GerdSeewald,KurtSchnellenkamp,1,3
GerdSeewald,GerhardMuecke,1,3
GerdSeewald,DorotheaHopp,1,3
GerdSeewald,HartmutHopp,1,3
KurtSchnellenkamp,GerdSeewald,1,3
GerhardMuecke,GerdSeewald,1,3
DorotheaHopp,GerdSeewald,1,3
HartmutHopp,GerdSeewald,1,3
GiselaSeewald,KurtSchnellenkamp,1,3
GiselaSeewald,GerhardMuecke,1,3
GiselaSeewald,DorotheaHopp,1,3
GiselaSeewald,HartmutHopp,1,3
KurtSchnellenkamp,GiselaSeewald,1,3
GerhardMuecke,GiselaSeewald,1,3
DorotheaHopp,GiselaSeewald,1,3
HartmutHopp,GiselaSeewald,1,3
HartmutHopp,KurtSchnellenkamp,1,3
HartmutHopp,GerhardMuecke,1,3
KurtSchnellenkamp,HartmutHopp,1,3
GerhardMuecke,HartmutHopp,1,3
KurtSchnellenkamp,GerhardMuecke,1,3
GerhardMuecke,KurtSchnellenkamp,1,3
DorotheaHopp,KurtSchnellenkamp,1,3
KurtSchnellenkamp,DorotheaHopp,1,3
DorotheaHopp,GerhardMuecke,1,3
GerhardMuecke,DorotheaHopp,1,3
PatricioCarvajal,PaulSchaefer,2,3
RudolphCoellen,PaulSchaefer,1,3
ErikaBlanck,PaulSchaefer,1,3
HildegardMoehring,PaulSchaefer,1,3
HeinzKuhn,PaulSchaefer,1,3
PaulSchaefer,PatricioCarvajal,2,3
PaulSchaefer,RudolphCoellen,1,3
PaulSchaefer,ErikaBlanck,1,3
PaulSchaefer,HildegardMoehring,1,3
PaulSchaefer,HeinzKuhn,1,3
HermannSchmidt,HartmutHopp,1,3
HartmutHopp,HermannSchmidt,1,3
RudolphCoellen,AlbertSchreiber,1,3
AlbertSchreiber,RudolphCoellen,1,3
KurtSchnellenkamp,HansBlank,1,3
HansBlank,KurtSchnellenkamp,1,3
ManuelContreras,AugustoPinochet,2,3
AugustoPinochet,ManuelContreras,2,3
AugustoPinochet,ReinhardDoering,2,3
ReinhardDoering,AugustoPinochet,2,3
ManuelContreras,ReinhardDoering,2,3
ReinhardDoering,ManuelContreras,2,3
